_id,RegiUn,Tipo punto monitoreo,Sector,Semana,Fecha,Tipo producto,Producto,MInimo,M*ximo,Promedio
2940,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Entero,1390,1790,"1556,67"
2941,8,Supermercado,Penco,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Entero,1390,1990,"1623,33"
2942,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Pollo Ganso,3990,4799,"4342,25"
2943,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Pollo Ganso,3990,5990,"4830,9"
2944,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Pollo Ganso,3990,4650,4320
2945,8,Supermercado,Penco,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Pollo Ganso,3990,5950,"4863,33"
2946,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Pechuga,1890,2199,"2133,6"
2947,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Pechuga,1890,2399,"2158,92"
2948,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Pechuga,2190,2250,2213
2949,8,Supermercado,Penco,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Pechuga,1990,2199,"2094,5"
2950,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Trutro Entero,1690,1890,"1773,33"
